Finished calculation at: Thu Apr 12 00:11:38 CEST 2012
Time needed for metric calculation: 0 min 3 sec 

Process Model Path;DB ID;Number of Start Events;Number of Internal Events;Number of End Events;Number of Events;Number of Activities;Number of And-Splits;Number of And-Joins;Number of Xor-Splits;Number of Xor-Joins;Number of Or-Splits;Number of Or-Joins;Number of Gateways;Number of Nodes;Number of Edges;Number of Data Nodes;Number of Roles;Diameter;Density;Density related to number of Gateways;Coefficient of Connectivity;Coefficient of Network Complexity;Cyclomatic Number;Average Connector Degree;Maximum Connector Degree;Separability;Depth;Cycling;Controlflow Complexity;Cross Connectivity
D:\Studium\Semester 9\Masterprojekt\mpws2011w1\code\PromniCAT\resources\BPMAI\823650946\EPC\2010-09-02_EPC iTunes Album\420056253_rev3.json;#7:13;0;8;0;8;7;0;0;1;1;0;0;4;19;8;1;0;5;0,023391812865497075;0,03125;0,42105263157894735;3,3684210526315788;13;1,25;3;0,0;1;0,0;2;0,02268518518518518
D:\Studium\Semester 9\Masterprojekt\mpws2011w1\code\PromniCAT\resources\BPMAI\823650946\EPC\2010-09-02_EPC iTunes Album\420056253_rev1.json;#7:17;0;1;0;1;1;0;0;0;0;0;0;1;3;0;0;0;0;0,0;0,0;0,0;0,0;3;0,0;0;0,0;0;0,0;0;0,0
D:\Studium\Semester 9\Masterprojekt\mpws2011w1\code\PromniCAT\resources\BPMAI\1012188479\BPMN2.0_Process\2011-11-11_test\1897762635_rev2.json;#7:18;2;0;1;3;1;0;0;0;1;0;0;1;5;4;1;0;3;0,2;0,0;0,8;3,2;1;3,0;3;1,0;0;0,0;0;0,11574074074074074
D:\Studium\Semester 9\Masterprojekt\mpws2011w1\code\PromniCAT\resources\BPMAI\823650946\BPMN1.1\2010-09-01_iTunes Album Purchase\1435295180_rev17.json;#7:20;2;0;2;4;13;1;2;0;0;0;0;5;22;17;0;0;9;0,0367965367965368;0,03333333333333333;0,7727272727272727;13,136363636363637;6;2,4;3;0,46296296296296297;1;0,0;1;0,14285714285714285
D:\Studium\Semester 9\Masterprojekt\mpws2011w1\code\PromniCAT\resources\BPMAI\823650946\BPMN1.1\2010-09-01_iTunes Album Purchase\1435295180_rev7.json;#7:22;1;0;0;1;5;0;0;0;0;0;0;0;6;0;0;0;0;0,0;0,0;0,0;0,0;6;0,0;0;0,0;0;0,0;0;0,0
D:\Studium\Semester 9\Masterprojekt\mpws2011w1\code\PromniCAT\resources\BPMAI\823650946\EPC\2010-09-02_EPC iTunes Album\420056253_rev2.json;#7:10;0;8;0;8;7;0;0;0;0;0;0;4;19;0;1;0;0;0,0;0,0;0,0;0,0;19;0,0;0;0,0;0;0,0;0;0,0
D:\Studium\Semester 9\Masterprojekt\mpws2011w1\code\PromniCAT\resources\BPMAI\823650946\BPMN1.1\2010-09-01_iTunes Album Purchase\1435295180_rev13.json;#7:25;2;0;1;3;11;0;0;0;0;0;0;2;16;1;0;0;1;0,004166666666666667;0,0;0,0625;0,0625;15;0,5;1;0,0;0;0,0;0;0,00392156862745098
D:\Studium\Semester 9\Masterprojekt\mpws2011w1\code\PromniCAT\resources\BPMAI\1012188479\BPMN2.0_Process\2011-03-14_process of a process\758275340_rev2.json;#7:5;1;0;1;2;13;0;0;3;3;0;0;6;20;22;0;0;18;0,05789473684210526;0,1111111111111111;1,1;24,2;4;3,0;3;0,6666666666666666;2;0,15;6;0,059221681379371914
D:\Studium\Semester 9\Masterprojekt\mpws2011w1\code\PromniCAT\resources\BPMAI\823650946\BPMN1.1\2010-09-14_DET Web Application _ Service New Request\449295224_rev1.json;#7:0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0,0;0,0;0,0;0,0;2;0,0;0;0,0;0;0,0;0;0,0
D:\Studium\Semester 9\Masterprojekt\mpws2011w1\code\PromniCAT\resources\BPMAI\1012188479\BPMN2.0_Process\2011-03-14_process of a process\758275340_rev3.json;#7:7;1;0;1;2;13;0;0;3;3;0;0;6;20;22;0;0;18;0,05789473684210526;0,1111111111111111;1,1;24,2;4;3,0;3;0,6666666666666666;2;0,15;6;0,05922168137937188
